  4.5400000000000000e+009	 -2.2948239999999998e+001	
  4.5406000000000000e+009	 -2.2739260000000002e+001	
  4.5412000000000000e+009	 -2.2542970000000000e+001	
  4.5418000000000000e+009	 -2.2309570000000001e+001	
  4.5424000000000000e+009	 -2.2027339999999999e+001	
  4.5430000000000000e+009	 -2.1726559999999999e+001	
  4.5436000000000000e+009	 -2.1453119999999998e+001	
  4.5442000000000000e+009	 -2.1173829999999999e+001	
  4.5448000000000000e+009	 -2.0887689999999999e+001	
  4.5454000000000000e+009	 -2.0639650000000000e+001	
  4.5460000000000000e+009	 -2.0580079999999999e+001	
  4.5466000000000000e+009	 -2.0774410000000000e+001	
  4.5472000000000000e+009	 -2.1342770000000002e+001	
  4.5478000000000000e+009	 -2.2483400000000000e+001	
  4.5484000000000000e+009	 -2.4077150000000000e+001	
  4.5490000000000000e+009	 -2.5790040000000001e+001	
  4.5496000000000000e+009	 -2.7226559999999999e+001	
  4.5502000000000000e+009	 -2.8163080000000001e+001	
  4.5508000000000000e+009	 -2.8460940000000001e+001	
  4.5514000000000000e+009	 -2.8250979999999998e+001	
  4.5520000000000000e+009	 -2.7954100000000000e+001	
  4.5526000000000000e+009	 -2.7542970000000000e+001	
  4.5532000000000000e+009	 -2.7192380000000000e+001	
  4.5538000000000000e+009	 -2.6757809999999999e+001	
  4.5544000000000000e+009	 -2.6386720000000000e+001	
  4.5550000000000000e+009	 -2.6115230000000000e+001	
  4.5556000000000000e+009	 -2.5800780000000000e+001	
  4.5562000000000000e+009	 -2.5636720000000000e+001	
  4.5568000000000000e+009	 -2.5337890000000002e+001	
  4.5574000000000000e+009	 -2.5183589999999999e+001	
  4.5580000000000000e+009	 -2.5023440000000001e+001	
  4.5586000000000000e+009	 -2.4916010000000000e+001	
  4.5592000000000000e+009	 -2.4770510000000002e+001	
  4.5598000000000000e+009	 -2.4668939999999999e+001	
  4.5604000000000000e+009	 -2.4513670000000001e+001	
  4.5610000000000000e+009	 -2.4458010000000002e+001	
  4.5616000000000000e+009	 -2.4328119999999998e+001	
  4.5622000000000000e+009	 -2.4336910000000000e+001	
  4.5628000000000000e+009	 -2.4256830000000001e+001	
  4.5634000000000000e+009	 -2.4215820000000001e+001	
  4.5640000000000000e+009	 -2.4183589999999999e+001	
  4.5646000000000000e+009	 -2.4171869999999998e+001	
  4.5652000000000000e+009	 -2.4157219999999999e+001	
  4.5658000000000000e+009	 -2.4096679999999999e+001	
  4.5664000000000000e+009	 -2.4120120000000000e+001	
  4.5670000000000000e+009	 -2.4082030000000000e+001	
  4.5676000000000000e+009	 -2.4133790000000001e+001	
  4.5682000000000000e+009	 -2.4115230000000000e+001	
  4.5688000000000000e+009	 -2.4128900000000002e+001	
  4.5694000000000000e+009	 -2.4112300000000001e+001	
  4.5700000000000000e+009	 -2.4176749999999998e+001	
  4.5706000000000000e+009	 -2.4187500000000000e+001	
  4.5712000000000000e+009	 -2.4233400000000000e+001	
  4.5718000000000000e+009	 -2.4275390000000002e+001	
  4.5724000000000000e+009	 -2.4309570000000001e+001	
